"Watercourse
Crossing ID","PXID","KP (Rev 5.0)","Waterbody Name/FWMIS Waterbody ID Number (FWMIS 2014)/ Stream Order at Crossing Site","Classification (Alberta)","Field UTM Coordinates (NAD 83)","Easting","Northing","longitude","latitude","Map","Fish Species Captured or Observed (Previously Documented – FWMIS)","Sensitivity Rating","Provincial RAP (AESRD)","Least Risk Biological Window Proposed","Rationale to Support LRBW Proposed if different from Provincial RAP","Planned Instream Construction Timing","Riparian Habitat Composition & Functionality","Vegetation Type","Stage","Apparent Condition","Project Proposed Primary","Project Proposed Contingency","Project Proposed Primary","Navigability Status","Site-Specific Comments","Reclamation Type","Can all of DFO's Measures to Avoid Harm be implemented for the Primary Pipeline Construction Method?"
"AB-4a","W1974. 1","7.71","Unnamed NCD/ no FWMIS ID","NCD","12","344940","5929390","-113.3372887","53.4905941","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-4b","W11.3","8.25","Unnamed NCD/ 119921/1","NCD","12","345098","5928872","-113.3346536","53.48598835","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-5","W14.3","10.06","Fulton Creek/ 646/ 2","Class C (unmapped)","12","345112","5927113","-113.3335754","53.47019447","Map","None (none)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","January to October 2019","M","G","NA","Open","Isolated trenched","Open cut if dry or frozen to bottom","Clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Class 2 Non- Navigable","Beaver activity noted within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type C.","Yes"
"AB-6","W15.2","10.73","Unnamed Wetland/ no FWMIS ID","Wetland","12","345084","5926451","-113.3336705","53.46424064","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-7","W19.4","12.73","Mill Creek/ 1121/ 3","Class C","12","343958","5924993","-113.3498937","53.45081376","Map","BRST (BRST and FTMN)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","January to October 2019","M","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type C.","Yes"
"AB-8","W20.3","15.77","Unnamed Wetland/ 121167/ 1","Wetland","12","341417","5923560","-113.3874013","53.43718561","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-9","W21.3","18.38","Unnamed Wetland/ 121297/ 2","Wetland","12","338803","5923674","-113.4267739","53.43741679","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-10","W22.4","20.42","Unnamed NCD/ 121297/ 2","NCD","12","336784","5923866","-113.4572385","53.43851997","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-11","W24.4","22.14","Unnamed Wetland/ 121608/ 2","Wetland","12","335251","5923498","-113.4801018","53.43473845","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-12","W27.4","24.21","Blackmud Creek/ 153/ 5","Class C","12","333191","5923422","-113.51104","53.43340838","Map","None (BRST, FTMN, LKCH, LNDC, LNSC, and WHSC)","High (Red)","April 16 to June 30","July 1 to April 15","Same as Provincial RAP.","Summer 2019","M","M","YF","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Steep, erodible and unstable banks at the centre of the proposed pipeline crossing. Realignment recommended for trenched construction to avoid steep banks and a site-specific bank reclamation plan may be needed.","Standard procedures and Type F.","Yes. An isolated trenched pipeline crossing method will be required inside the LRBW."
"AB-13","W28.4","28.2","Whitemud Creek/ 1908/ 5","Class B","12","329700","5923210","-113.5634196","53.43038894","Map","None (NRPK, BURB, MNSC, BRST, FTMN, LKCH, LNDC, LNSC, PRDC, RVSH, SPSH, TRPR and WHSC)","High (Red)","April 16 to June 30","July 1 to April 15","Same as Provincial RAP.","Summer 2019","M","S","Shr","Intact","Isolated trenched with fish salvage and water quality monitoring","Open cut if dry or frozen to bottom","Clear span bridge","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted within LSA. Steep, erodible and unstable banks at the centre of the proposed pipeline corridor. Realignment recommended for trenched construction to avoid steep banks and a site-specific bank reclamation plan may be needed.","Standard procedures and Type F.","Yes. An isolated trenched pipeline crossing method will be required inside the LRBW."
"AB-14","W29.5","33.58","North Saskatchewan River/ 2162/ 8","Class C","12","326528","5926751","-113.6130636","53.46115133","Map","MOON, BURB, GOLD, SPSH, MNWH, LNSC, WHSC, NRPK, WALL and SHRD (BKTR, BNTR, BLTR, BURB, CTTR, RNTR, CTTRXRNTR, GOFS, GOLD, LKST, LKTR, MNSC, MNWH, NRPK, NRDC, SAUG, WALL, YLPR, BRST, EMSH, FTMN, FNDC, FLCH, IWDR, LKCH, LNDC, LNSC, MOON, PRDC, QUIL, RVSH, SHRD, SLRD, SLSC, SPSC, SPSH, TRPR and WHSC)","High (Red)","September 16 to July 31","August 1 to September 15","Same as Provincial RAP.","Summer 2019","M","M","YF","Patchy","Trenchless with water quality monitoring","Open cut","Existing crossing","Navigable","If trenched method is required as a contingency method, a site - specific bank reclamation or compensation/offset plan may be needed.","Comply with federal and provincial regulations.","Yes. However, measures to avoid harm will not be met for the contingency pipeline construction method because site isolation measures (e.g., silt boom and silt curtain) for containing suspended sediment where in-water work occurs is not proposed."
"AB-14a","W30.4","34.21","Unnamed NCD/120523/1","NCD","12","326116","5927223","-113.6195236","53.46525376","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-14b","W31.3","34.6","Unnamed NCD/120494/1","NCD","12","325850","5927441","-113.623647","53.46712338","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-15","W32.7","37.12","Unnamed tributary to North Saskatchewan River (locally known as Wedgewood Creek)/ 25636/ 3","Class C (unmapped)","12","323887","5927934","-113.6534621","53.47089741","Map","WHSC, BRST, Dace SPP. (BRST and FTMN)","High (Red)","April 16 to June 30","July 1 to April 15","Same as Provincial RAP.","January to October 2019","H","G","NA","Open","Trenchless with water quality monitoring","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Class 3 Non- Navigable","Realignment is recommended for trenched construction to avoid steep banks and a site -specific bank reclamation plan may be needed. QAES-led fish salvage required if isolated trenched construction occurs. Spring influence observed within LSA. Beaver activity noted in LSA (breach may be needed if trenched construction is required.","Standard procedures and Type F.","Yes. If required, a contingency isolated trenched pipeline crossing method will be required inside the LRBW."
"AB-15b","W34.4","40.39","Unnamed NCD/no FWMIS ID","NCD","12","323410","5930847","-113.6622788","53.4968935","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-16","W35.3","40.71","Unnamed Wetland/ 24445/ 1","Wetland","12","323476","5931151","-113.661456","53.49964525","Map","None (BRST and FTMN)","Low (Green)","None","Open","N/A","January to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Refer to Wetland Survey and Mitigation Plan","QAES-led fish salvage required if isolated trenched construction occurs. Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-17","W36.5","41.91","Unnamed NCD/ 24445/ 1","NCD","12","323384","5932329","-113.6635048","53.51019158","Map","None (BRST and FTMN)","Low (Green)","None","Open","N/A","January to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs.","Standard procedures and Type A.","Yes"
"AB-17a","W37.3","44.32","Unnamed NCD/no FWMIS ID","NCD","12","321392","5933074","-113.693934","53.516208","Map","None (none)","Low (Green)","None","Open","N/A","January to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-18","W38.4","59.44","Dog Creek/ 23457/ 1","Class C (unmapped)","12","306580","5935601","-113.9185969","53.53365349","Map","None (BRST and FTMN)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Potential beaver activity within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location. Impoundment prevented bank and channel measurements.","Standard procedures and Type A.","Yes"
"AB-19","W39.3","63.03","Atim Creek/ 45/ 3","Class C","12","303787","5937258","-113.9617192","53.54749231","Map","BRST, WHSC, LKCH and FTMN (BRST, FTMN, LKCH and WHSC)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Spring influence observed within LSA. Beaver activity noted within the LSA.","Standard procedures and Type D.","Yes"
"AB-20","W41.3","64.31","Unnamed tributary to Atim Creek/ 24588/ 2","Class C (unmapped)","12","302788","5938022","-113.9772579","53.55397618","Map","BRST, FTMN, WHSC and PRDC (BRST, FTMN, WHSC and LKCH)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs.","Standard procedures and Type D.","Yes"
"AB-21","W42.3","65.51","Unnamed tributary to Atim Creek/ 24232/ 2","Class C (unmapped)","12","301657","5938307","-113.9944876","53.55610846","Map","BRST, FTMN, WHSC, FNDC, PRDC and unidentified species (BRST, FTMN, LKCH and WHSC)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge","Class 2 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA (breach may be needed if trenched construction required). Spring influence suspected within LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type D.","Yes"
"AB-21a","W2033. 0","66.48","Unnamed Wetland/ no FWMIS ID","Wetland","11","698104","5938302","-114.0091185","53.55615381","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-22","W47.4","69.22","Unnamed NCD/ 118427/ 1","NCD","11","695453","5937666","-114.0494809","53.55143815","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-23RM","W48.1","70.07","Unnamed Wetland/ 118427/ 1","Wetland","11","694613","5937679","-114.0621349","53.5518668","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-23aNAC","W50.2","80.18","Unnamed Wetland/164110","Wetland","11","684598","5938147","-114.2128426","53.55968462","Map","TBD (none)","High (Red)","April 16 to June 30","July 1 to April 15","Same as Provincial RAP.","Summer 2018","M","_","_","_","Isolated trenched; fish salvage and water quality monitoring to be determined by Environmental Inspector in consultation with the QAES at the time of construction as no field visit was completed","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","No access permission - no field visit completed. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location. Site inherits closest flowing waterbody class and RAP until an assessment is completed.","Refer to Wetland Survey and Mitigation Plan.","Yes. If required, an isolated trenched pipeline crossing method will be used inside the precautionary LRBW assigned."
"AB-24","W51.3","81.12","Unnamed NCD/ 118373/ 1","NCD","11","683667","5938078","-114.2269217","53.55939167","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-25","W52.4","82.68","Kilini Creek/ 898/ 3","Class C (unmapped)","11","682102","5938159","-114.2504735","53.56066409","Map","BRST (BRST, FLCH, LNDC, IWDR, NRPK and WHSC)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing or clear span bridge","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type A.","Yes"
"AB-26","W53.2","82.82","Unnamed Wetland/ 117293/ 3","Wetland","11","681966","5938166","-114.2525203","53.56077409","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-27","W54.3","84.8","Unnamed NCD/ no FWMIS ID","NCD","11","679984","5938270","-114.2823492","53.56239113","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-28","W55.2","85.16","Unnamed Wetland/ 117408/ 2","Wetland","11","679632","5938288","-114.2876472","53.56267331","Map","FTMN and BRST(none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","M","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Refer to Wetland Survey and Mitigation Plan","QAES-led fish salvage required if isolated trenched construction occurs. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-29","W56.3","85.88","Unnamed NCD/ no FWMIS ID","NCD","11","678952","5938213","-114.2979453","53.56223218","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-30","W57.2","87.35","Unnamed Wetland/ 117919/ 1","Wetland","11","677495","5938309","-114.3198639","53.56358881","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
"AB-32","W59.3","89.29","Unnamed NCD/ 117952/ 1","NCD","11","675567","5938411","-114.3488846","53.56515308","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-33NAC","W60.5","90.24","Unnamed tributary to Clear Lake/ 62698/ 1","Class C (unmapped)","11","674613","5938461","-114.3632455","53.56592027","Map","TBD (none)","High (Red)","April 16 to June 30","July 1 to April 15","Same as Provincial RAP.","Summer 2018","M","_","_","_","Isolated trenched; fish salvage and water quality monitoring to be determined by Environmental Inspector in consultation with the QAES at the time of construction as no field visit was completed","Open cut if dry or frozen to bottom","Clear span bridge","Potentially Navigable","No access permission - no field visit completed. Site inherits closest flowing waterbody class and RAP until an assessment is completed. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","TBD","Yes. If required, an isolated trenched pipeline crossing method will be used inside the precautionary LRBW assigned."
"AB-34","W61.3","91.25","Unnamed tributary to Kilini Creek/ 24386/ 1","Class C (unmapped)","11","673607","5938512","-114.3783908","53.56671193","Map","BRST (none)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing, clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Potentially Navigable","QAES-led fish salvage required if isolated trenched construction occurs. Beaver activity noted in LSA. Refer to Wetland Survey and Mitigation Plan for additional recommendations relating to wetlands at this location.","Standard procedures and Type C.","Yes"
"AB-35","W62.3","92.75","Unnamed NCD/ 24385/ 1","NCD","11","672114","5938593","-114.4008662","53.56793098","Map","BRST (BRST)","Low (Green)","None","Open","N/A","July 2018 to October 2019","L","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs.","Standard procedures and Type A.","Yes"
"AB-35b","W64.4","94.32","Unnamed NCD/ no FWMIS ID","NCD","11","670546","5938674","-114.4244743","53.56917021","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-36","W65.3","94.58","Unnamed NCD/ no FWMIS ID","NCD","11","670281","5938688","-114.4284641","53.56938198","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-37","W66.4","94.8","Unnamed NCD/ no FWMIS ID","NCD","11","670062","5938687","-114.4317683","53.56944401","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Existing crossing, clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-37a","W67.4","95.55","Unnamed tributary to Wabamun Lake/no FWMIS ID","Class C (unmapped)","11","669315","5938661","-114.443051","53.56945208","Map","BRST (none)","Low (Green)","April 16 to June 30","Open","No species of management concern present; construction can likely proceed anytime using recommended mitigation measures.","July 2018 to October 2019","M","G","NA","Open","Isolated trenched with fish salvage","Open cut if dry or frozen to bottom","Existing crossing, clear span bridge, Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","QAES-led fish salvage required if isolated trenched construction occurs.","Standard procedures and Type A.","Yes"
"AB-38","W70.4","96.06","Unnamed NCD/ no FWMIS ID","NCD","11","668809","5938644","-114.4506934","53.56946244","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Type 3 culvert or Type 5 logfill/swamp mat","Class 1 Non- Navigable","No fish habitat potential.","Standard procedures and Type A.","Yes"
"AB-38a","W71.3","96.33","Unnamed Wetland/ no FWMIS ID","Wetland","11","668536","5938621","-114.4548241","53.56934365","Map","None (none)","Low (Green)","None","Open","N/A","July 2018 to October 2019","_","_","_","_","Isolated trenched","Open cut if dry or frozen to bottom","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan","Refer to Wetland Survey and Mitigation Plan.","Refer to Wetland Survey and Mitigation Plan.","Yes"
